id,total_employed,%chg_total_emp
303,16716,1.568666667
304,23660,1.266
305,99342,0.956
306,9272,1.338
307,1567,0.478
308,37422,0.711333333
309,4816,1.427333333
310,150452,0.652
311,43416,0.971333333
312,5862,0.690666667
313,679994,0.851333333
314,23444,1.056666667
315,63094,0.4775
316,2448664,0.760666667
317,3056592,1.004666667
318,335767,0.481333333
319,404176,0.956666667
320,2194602,0.912666667
321,712984,1.200666667
322,242254,1.982666667
323,209031,0.470666667
324,232013,0.486666667
325,242734,1.551333333
326,1740028,1
327,453049,0.490666667
328,22032,0.5375
329,4666994,3.280666667
330,378,1.09
331,807878,1.917333333
332,45746,1.958666667
333,444314,1.268666667
334,32411,0.41
335,1342824,0.964
336,4963330,0.783333333
337,17658,1.526
338,300290,0.787333333
339,194408,0.770666667
340,322258,0.792
341,949998,0.658
342,148674,1.552666667
343,58206,1.082
344,16664,1.755333333
345,3162696,0.974
346,841118,1.19
347,147790,0.799333333
348,20014,1.491333333
349,92560,1.676666667
350,21896,1.504666667
351,12668,1.042
352,23190,1.368
353,17536,1.938
354,42374,1.247333333
355,75096,0.879333333
356,270496,0.8
357,164158,0.912
358,4328128,0.890666667
359,20876,1.882
360,326760,0.679333333
361,88260,1.985333333
362,15506,1.338666667
363,8380,2.232666667
364,626366,0.758666667
365,1660946,0.880666667
366,917566,2.103333333
367,53292,0.988
368,11786,2.084
369,27632,1.371333333
370,806366,0.726666667
371,649300,0.9
372,425688,0.66
373,7044784,0.878
374,256166,0.978
375,144174,0.938
376,514148,1.736666667
377,69572,1.003333333
378,5250878,0.800666667
379,611398,0.752
380,3752392,0.785333333
381,747212,0.806666667
382,2652128,0.820666667
383,1406632,0.79
384,97292,1.156
385,491076,0.814
386,491314,0.979333333
387,238236,1.060666667
388,1044826,0.686
389,1204270,0.671333333
390,196688,1.218
391,68558,1.208666667
392,38762,1.158666667
393,14726,0.354666667
394,1060256,0.815333333
395,35792,1.708
396,166870,0.788
397,36944,1.612666667
398,1850430,0.600666667
399,42624,0.880666667
400,13422,0.879333333
401,22220,0.942
402,2242,0.390666667
403,94698,1.856
404,25900,0.86
405,125844,0.793333333
406,250334,0.776666667
407,33522,0.868666667
408,20272,1.113333333
409,498946,0.868666667
410,12893,0.464666667
411,15120,1.135333333
412,19942,0.895333333
413,54450,1.068666667
414,156274,1.584666667
415,90566,0.644
416,43930,1.268
417,5085,0.546
418,86756,2.594
419,19410,0.923333333
420,251190,0.986666667
421,94896,0.818666667
422,12000,1.022
423,963384,0.896666667
424,12740,0.838666667
425,33076,1.112666667
426,400880,0.750666667
427,420008,1.892
428,3870,1.508
429,736834,0.798
430,13698,0.982
431,2234262,0.740666667
432,103452,0.969333333
433,89174,1.023333333
434,225356,0.89
435,26344,1.213333333
436,243930,0.769333333
437,7672,1.247333333
438,49414,0.906
439,22592,0.819333333
440,55008,0.809333333
