id,establishments,%chg_lq_estabishments
12320,294,15.47
12321,290,15.84
12322,300,15.58
12323,300,15.82
12324,314,15.32
12325,312,15.56
12326,310,15.82
12327,310,15.98
12328,300,13.26
12329,306,13.11
12330,9500,4.16
12331,9530,4.14
12332,9506,4.13
12333,9532,4.12
12334,9704,4.05
12335,9658,4.1
12336,9686,4.14
12337,9678,4.1
12338,9728,4.11
12339,9840,4.17
12340,9820,4.22
12341,10060,4.21
12342,9978,4.25
12343,10156,4.24
12344,10174,4.26
12345,10314,4.16
12346,10354,4.16
12347,596,14.96
12348,604,14.9
12349,608,15.23
12350,618,15.17
12351,614,15.34
12352,608,15.62
12353,606,15.9
12354,608,15.31
12355,620,15.74
12356,620,15.37
12357,604,15.48
12358,608,16.01
12359,594,16.59
12360,622,16.14
12361,622,16.32
12362,598,14.8
12363,588,14.85
12364,4694,6.21
12365,4752,6.27
12366,4782,6.22
12367,4798,6.18
12368,4812,6.17
12369,4772,6.25
12370,4752,6.17
12371,4758,6.23
12372,4798,6.32
12373,4846,6.38
12374,4794,6.48
12375,4978,6.35
12376,4916,6.45
12377,5006,6.44
12378,4982,6.34
12379,5014,6.07
12380,5042,6.06
12381,1490,8.13
12382,1500,7.91
12383,1512,8.29
12384,1504,8.41
12385,1522,8.13
12386,1512,8.43
12387,1510,8.63
12388,1506,8.63
12389,1522,8.66
12390,1542,8.9
12391,1530,9.09
12392,1558,9.02
12393,1532,9.22
12394,1554,9.22
12395,1542,9.37
12396,1540,8.14
12397,1566,8.07
12398,284,17.94
12399,284,17.07
12400,280,18.42
12401,278,18.71
12402,292,17.93
12403,290,19.41
12404,288,19.84
12405,288,19.78
12406,292,18.58
12407,300,19.57
12408,294,20.28
12409,304,19.83
12410,316,19.34
12411,326,19.04
12412,326,19.26
12413,328,17.25
12414,328,17.35
12415,2320,5.51
12416,2358,5.43
12417,2366,5.55
12418,2372,5.58
12419,2436,5.49
12420,2432,5.54
12421,2438,5.46
12422,2466,5.41
12423,2482,5.44
12424,2508,5.57
12425,2508,5.65
12426,2608,5.4
12427,2568,5.62
12428,2646,5.57
12429,2638,5.62
12430,2654,4.88
12431,2700,4.84
12432,940,9.88
12433,942,9.94
12434,946,10.24
12435,936,10.41
12436,946,9.4
12437,924,9.67
12438,914,9.89
12439,938,9.65
12440,942,10.06
12441,936,10.57
12442,944,10.31
12443,978,9.75
12444,948,10.1
12445,968,10.37
12446,970,10.31
12447,978,8.61
12448,1004,8.48
12449,2790,7.28
12450,2820,7.39
12451,2818,7.34
12452,2820,7.28
12453,2866,7.08
12454,2846,7.31
12455,2846,7.29
12456,2858,7.25
12457,2848,7.42
12458,2824,7.54
12459,2804,7.59
12460,2870,7.48
12461,2860,7.7
12462,2908,7.67
12463,2914,7.85
12464,2938,7.15
12465,2952,7.16
12466,1226,8.99
12467,1232,9.02
12468,1232,8.99
12469,1238,9.02
12470,1274,9.36
12471,1280,9.65
12472,1296,9.69
12473,1310,9.35
12474,1308,9.46
12475,1302,9.71
12476,1304,9.85
12477,1318,10.08
12478,1304,9.97
12479,1322,9.96
12480,1336,10.26
12481,1330,8.88
12482,1342,8.85
12483,1286,9.27
12484,1286,9.34
12485,1306,9.46
12486,1304,9.68
12487,1340,9.48
12488,1348,9.53
12489,1340,9.7
12490,1322,9.78
12491,1364,9.64
12492,1370,9.72
12493,1370,9.65
12494,1396,9.56
12495,1394,9.89
12496,1414,9.88
12497,1392,10.11
12498,1394,8.28
12499,1420,8.18
12500,1396,7.81
12501,1400,7.85
12502,1402,8.06
12503,1394,8.15
12504,1440,7.97
12505,1444,8.1
12506,1438,8.03
12507,1446,7.97
12508,1470,7.97
12509,1460,7.66
12510,1450,7.81
12511,1474,7.76
12512,1456,7.91
12513,1470,7.93
12514,1484,7.95
12515,1478,7.11
12516,1500,7.07
12517,40734,2.59
12518,39404,2.67
12519,39210,2.66
12520,35754,2.74
12521,38102,2.79
12522,40738,2.71
12523,37690,2.8
12524,47330,2.67
12525,45334,2.72
12526,44038,2.73
12527,42830,2.76
12528,47190,2.77
12529,43522,2.8
12530,43824,2.83
12531,43830,2.86
12532,43346,2.94
12533,44372,2.94
12534,594,12.51
12535,610,12.33
12536,630,11.96
12537,632,12.03
12538,636,11.98
12539,636,12.63
12540,638,12.79
12541,632,12.86
12542,638,12.9
12543,644,12.97
12544,648,12.55
12545,662,12.4
12546,656,12.63
12547,674,12.49
12548,684,12.46
12549,666,12.62
12550,672,12.58
12551,308,15.86
12552,312,15.82
12553,314,15.62
12554,322,15.43
12555,316,14.63
12556,320,15.54
12557,312,16.13
12558,304,16.45
12559,306,16.56
12560,308,16.69
12561,318,15.37
12562,326,15.15
12563,324,15.38
12564,318,15.82
12565,306,14.86
12566,314,15.84
12567,316,15.83
12568,952,11.51
12569,940,11.72
12570,940,12.04
12571,932,12.23
12572,928,12.42
12573,926,12.56
12574,924,12.76
12575,914,12.85
12576,920,12.93
12577,926,13.01
12578,920,12.93
12579,912,13.1
12580,924,13.09
12581,940,13.04
12582,934,13.25
12583,920,13.51
12584,920,13.57
12585,722,14.22
12586,728,13.76
12587,734,14.08
12588,730,14.26
12589,746,14.48
12590,756,14.45
12591,752,14.74
12592,742,14.87
12593,762,14.71
12594,766,15.16
12595,758,14.61
12596,764,14.12
12597,770,14.18
12598,780,14.19
12599,782,14.31
12600,790,14.26
12601,786,14.4
12602,454,14.97
12603,456,15.04
12604,456,14.97
12605,450,15.28
12606,454,14.71
12607,464,15.04
12608,456,15.5
12609,450,15.64
12610,446,15.96
12611,446,16.16
12612,454,14.58
12613,462,14.46
12614,462,15.41
12615,468,15.43
12616,472,15.48
12617,476,15.45
12618,480,15.42
12619,1376,11.67
12620,1380,11.72
12621,1376,11.96
12622,1362,12.38
12623,1356,12.35
12624,1346,12.76
12625,1336,13.04
12626,1330,13.05
12627,1346,13.08
12628,1350,13.2
12629,1360,12.78
12630,1378,12.72
12631,1398,12.96
12632,1420,12.93
12633,1414,13.03
12634,1394,13.35
12635,1398,13.38
12636,7776,5.64
12637,7776,5.67
12638,7780,5.67
12639,7716,5.73
12640,7704,5.7
12641,7746,5.73
12642,7738,5.8
12643,7634,5.83
12644,7652,5.84
12645,7720,5.86
12646,7738,5.87
12647,7774,5.98
12648,7844,5.98
12649,7862,6.01
12650,7846,6.12
12651,7816,6.2
12652,7810,6.22
12653,1458,9.25
12654,1460,9.1
12655,1496,9.14
12656,1504,9.37
12657,1478,9.28
12658,1486,9.12
12659,1488,9.24
12660,1494,9.38
12661,1506,9.44
12662,1512,9.6
12663,1510,9.51
12664,1506,9.8
12665,1490,9.88
12666,1492,10.19
12667,1486,10.32
12668,1496,10.33
12669,1502,10.33
12670,1422,9.8
12671,1426,9.84
12672,1446,9.94
12673,1426,10.13
12674,1440,10.06
12675,1446,10.12
12676,1462,10.17
12677,1412,10.44
12678,1426,10.47
12679,1438,10.75
12680,1430,10.46
12681,1438,10.38
12682,1464,10.55
12683,1478,10.56
12684,1462,10.78
12685,1440,11.24
12686,1452,11.22
12687,1258,11.91
12688,1270,11.91
12689,1292,12.2
12690,1282,12.37
12691,1270,12.49
12692,1278,12.54
12693,1282,12.7
12694,1264,12.82
12695,1266,12.96
12696,1264,13.14
12697,1272,12.99
12698,1260,13.44
12699,1268,13.49
12700,1272,13.6
12701,1276,13.71
12702,1264,13.9
12703,1258,14.02
12704,1314,11.47
12705,1316,11.55
12706,1320,11.74
12707,1338,11.62
12708,1330,11.69
12709,1326,11.83
12710,1322,12.04
12711,1330,11.95
12712,1326,12.11
12713,1316,12.34
12714,1310,12.42
12715,1304,12.64
12716,1292,12.77
12717,1290,12.92
12718,1288,13.08
12719,1246,13.52
12720,1242,13.63
12721,854,12.72
12722,848,12.56
12723,860,12.75
12724,844,13.06
12725,852,13.45
12726,882,13.54
12727,874,13.85
12728,880,13.73
12729,876,13.95
12730,872,14.18
12731,860,13.76
12732,860,13.42
12733,874,13.65
12734,866,13.92
12735,878,13.91
12736,878,13.98
12737,870,14.17
12738,640,15.24
12739,636,15.45
12740,638,15.87
12741,630,16.2
12742,630,16.22
12743,628,16.44
12744,628,17.16
12745,642,16.78
12746,640,17.05
12747,638,17.31
12748,642,16.95
12749,662,16.61
12750,666,16.7
12751,664,16.74
12752,654,17.15
12753,662,17.05
12754,650,17.44
12755,1974,8.31
12756,1978,8.29
12757,1958,8.43
12758,1942,8.56
12759,1940,8.52
12760,1932,8.62
12761,1924,8.74
12762,1908,8.94
12763,1914,8.95
12764,1938,8.97
12765,1930,8.95
12766,1934,9
12767,1964,8.97
12768,1958,9.26
12769,1950,9.38
12770,1944,9.45
12771,1958,9.43
12772,1106,12.99
12773,1112,12.92
12774,1122,12.99
12775,1116,13.15
12776,1112,13.21
12777,1114,13.32
12778,1128,13.38
12779,1104,13.58
12780,1116,13.61
12781,1114,13.81
12782,1112,13.46
12783,1116,13.78
12784,1124,13.84
12785,1128,14.23
12786,1140,14.25
12787,1120,14.56
12788,1126,14.56
12789,1154,10.76
12790,1160,10.8
12791,1154,11.09
12792,1164,11.11
12793,1158,11.16
12794,1172,11.16
12795,1170,11.34
12796,1166,11.23
12797,1174,11.3
12798,1174,11.43
12799,1176,11.32
12800,1188,11.29
12801,1208,11.24
12802,1216,11.32
12803,1230,11.33
12804,1196,11.67
12805,1184,11.82
12806,3362,7.78
12807,3386,7.79
12808,3370,7.91
12809,3366,7.94
12810,3344,8.03
12811,3356,8.07
12812,3330,8.23
12813,3254,8.41
12814,3272,8.46
12815,3280,8.68
12816,3300,8.69
12817,3284,8.84
12818,3348,8.79
12819,3368,8.83
12820,3364,8.81
12821,3338,9.12
12822,3344,9.14
12823,886,15.05
12824,888,15.15
12825,888,15.47
12826,888,15.6
12827,908,15.33
12828,910,15.45
12829,902,15.82
12830,906,15.7
12831,912,15.81
12832,912,16.01
12833,904,16.01
12834,906,16.38
12835,900,15.93
12836,900,16.88
12837,906,17.33
12838,906,17.28
12839,912,17.26
12840,876,10.82
12841,884,10.83
12842,886,11.14
12843,882,11.27
12844,888,11.23
12845,884,11.37
12846,880,11.58
12847,874,11.61
12848,878,11.7
12849,878,11.85
12850,882,11.59
12851,880,11.68
12852,890,11.7
12853,894,11.77
12854,892,11.92
12855,874,12.2
12856,876,12.23
12857,478,14.26
12858,486,14.16
12859,484,14.19
12860,468,14.75
12861,482,15.11
12862,486,14.53
12863,490,14.64
12864,476,14.98
12865,476,15.16
12866,486,15.08
12867,486,14.55
12868,496,14.41
12869,506,14.32
12870,510,14.35
12871,514,14.42
12872,510,14.32
12873,506,14.49
12874,1476,10.33
12875,1494,10.3
12876,1494,10.39
12877,1472,10.52
12878,1472,10.77
12879,1478,10.84
12880,1482,10.96
12881,1492,10.87
12882,1490,11.1
12883,1520,11.05
12884,1490,11.15
12885,1494,11.12
12886,1504,11.16
12887,1492,11.26
12888,1496,11.35
12889,1484,11.71
12890,1484,11.76
12891,1252,12.97
12892,1254,13.06
12893,1260,13.21
12894,1252,13.4
12895,1252,13.51
12896,1262,13.55
12897,1252,13.76
12898,1246,13.77
12899,1250,13.8
12900,1230,14.16
12901,1238,14.04
12902,1244,14.22
12903,1274,14.08
12904,1258,14.09
12905,1264,14.44
12906,1228,15.48
12907,1242,15.4
12908,2844,7.9
12909,2862,7.92
12910,2856,8.09
12911,2838,8.19
12912,2844,8.29
12913,2848,8.34
12914,2844,8.46
12915,2858,8.42
12916,2896,8.52
12917,2914,8.48
12918,2920,8.44
12919,2940,8.46
12920,2984,8.55
12921,2942,8.78
12922,2950,8.84
12923,2928,8.94
12924,2934,8.96
12925,980,13.09
12926,998,13
12927,1012,12.8
12928,1000,13.04
12929,1006,12.99
12930,1020,13.59
12931,1016,13.85
12932,1016,14.09
12933,1026,14.15
12934,1028,14.31
12935,1038,14.08
12936,1034,14.22
12937,1052,14.04
12938,1044,13.93
12939,1056,14.31
12940,1040,14.46
12941,1034,14.59
12942,5348,5.46
12943,5450,5.46
12944,5510,5.41
12945,5526,5.43
12946,5654,5.28
12947,5740,5.27
12948,5816,5.28
12949,5896,5.28
12950,6074,5.26
12951,6192,5.27
12952,6254,5.24
12953,6394,5.2
12954,6572,5.14
12955,6644,5.22
12956,6706,5.23
12957,6748,5.27
12958,6764,5.28
12959,494,14.15
12960,486,13.87
12961,484,14.55
12962,486,14.63
12963,484,14.7
12964,492,14.64
12965,480,14.92
12966,482,14.83
12967,490,15.41
12968,484,16.44
12969,490,16.44
12970,490,15.91
12971,502,15.73
12972,514,15.59
12973,506,15.23
12974,506,15.95
12975,502,16.14
12976,458,19.72
12977,464,19.02
12978,462,19.74
12979,458,19.33
12980,458,18.62
12981,466,18.54
12982,462,18.69
12983,462,18.65
12984,444,18.49
12985,444,18.74
12986,440,18.69
12987,452,19.08
12988,456,20.77
12989,454,20.81
12990,444,20.61
12991,444,21.31
12992,442,21.51
12993,1168,11.53
12994,1188,11.74
12995,1192,11.86
12996,1200,11.9
12997,1202,11.65
12998,1214,11.67
12999,1208,11.88
13000,1214,11.8
13001,1240,11.74
13002,1248,12.07
13003,1246,12.24
13004,1248,12.31
13005,1254,12.36
13006,1248,12.25
13007,1254,12.63
13008,1230,12.92
13009,1236,12.93
13010,2716,7.53
13011,2738,7.33
13012,2752,7.42
13013,2742,7.5
13014,2738,7.51
13015,2734,7.57
13016,2714,7.71
13017,2750,7.73
13018,2756,7.91
13019,2762,7.99
13020,2752,7.93
13021,2788,8.13
13022,2818,8.02
13023,2814,8.1
13024,2800,8.22
13025,2768,8.44
13026,2766,8.49
13027,1748,8.12
13028,1792,8.03
13029,1822,8.09
13030,1822,8.09
13031,1806,8.15
13032,1806,8.23
13033,1790,8.38
13034,1812,8.29
13035,1838,8.3
13036,1822,8.44
13037,1846,8.29
13038,1848,8.33
13039,1880,8.29
13040,1892,8.35
13041,1902,8.39
13042,1898,8.45
13043,1908,8.45
13044,6674,5.87
13045,6754,5.8
13046,6758,5.77
13047,6776,5.82
13048,6758,5.79
13049,6824,5.8
13050,6820,5.86
13051,6800,5.91
13052,6986,5.86
13053,7008,5.95
13054,7038,5.9
13055,7184,5.85
13056,7280,5.89
13057,7350,5.96
13058,7364,5.94
13059,7344,6.02
13060,7362,6.04
13061,676,11.92
13062,678,12.15
13063,664,12.32
13064,652,12.63
13065,648,13.24
13066,646,13.38
13067,646,13.59
13068,652,13.45
13069,654,13.56
13070,654,13.74
13071,648,13.52
13072,652,13.54
13073,664,13.47
13074,662,13.65
13075,654,13.94
13076,654,14.01
13077,652,14.13
13078,1366,10.52
13079,1370,10.57
13080,1372,10.69
13081,1362,10.84
13082,1358,10.95
13083,1386,10.87
13084,1372,11.12
13085,1350,11.24
13086,1350,11.37
13087,1348,11.62
13088,1362,11.45
13089,1384,11.37
13090,1392,11.43
13091,1384,11.61
13092,1374,11.8
13093,1352,12.02
13094,1348,12.11
13095,1004,10.8
13096,1010,10.2
13097,1002,10.58
13098,990,10.77
13099,980,11.12
13100,972,11.29
13101,968,11.5
13102,950,11.64
13103,948,11.8
13104,946,11.97
13105,948,11.76
13106,952,11.94
13107,962,11.94
13108,970,11.99
13109,968,12.83
13110,970,12.87
13111,964,13.01
13112,762,12.39
13113,754,12.21
13114,752,12.2
13115,752,12.32
13116,756,12.73
13117,760,12.78
13118,760,12.97
13119,744,13.17
13120,738,13.25
13121,744,13.33
13122,760,12.83
13123,760,12.91
13124,760,13.05
13125,758,13.23
13126,758,13.19
13127,752,13.36
13128,762,13.28
13129,546,15.91
13130,548,15.99
13131,550,16.47
13132,550,16.62
13133,576,15.77
13134,576,15.92
13135,576,16.18
13136,584,16.45
13137,582,16.71
13138,572,17.2
13139,584,17.1
13140,582,17.27
13141,588,17.29
13142,594,17.35
13143,594,17.54
13144,578,18.07
13145,578,18.16
13146,648,14.64
13147,640,13.86
13148,632,14.31
13149,638,14.33
13150,630,14.5
13151,644,14.37
13152,642,15.09
13153,644,14.99
13154,646,15.14
13155,652,14.74
13156,652,14.92
13157,666,14.75
13158,666,14.9
13159,662,15.63
13160,654,15.97
13161,628,16.64
13162,632,16.63
13163,742,12.58
13164,746,12.22
13165,736,12.32
13166,750,12.63
13167,744,13.19
13168,750,13.22
13169,746,13.48
13170,728,13.71
13171,732,13.99
13172,740,14.04
13173,746,13.7
13174,768,13.46
13175,782,13.21
13176,796,13.17
13177,794,13.34
13178,784,13.57
13179,786,13.18
13180,730,16.8
13181,722,17.1
13182,738,17.17
13183,738,17.32
13184,730,17.34
13185,744,17.23
13186,742,17.53
13187,732,17.86
13188,740,17.91
13189,754,17.38
13190,734,17.62
13191,748,16.46
13192,764,16.33
13193,772,16.86
13194,772,17.56
13195,772,17.3
13196,782,17.2
13197,982,12.28
13198,972,12.47
13199,960,12.91
13200,956,13.07
13201,962,13.14
13202,962,13.27
13203,948,13.95
13204,958,13.78
13205,952,14.03
13206,952,13.88
13207,958,13.29
13208,966,13.28
13209,966,13.8
13210,956,14.1
13211,960,14.2
13212,970,14.15
13213,964,14.3
13214,746,13.51
13215,758,13.43
13216,768,13.67
13217,766,13.82
13218,760,13.94
13219,754,14.33
13220,748,14.65
13221,738,14.94
13222,736,15.16
13223,760,14.93
13224,756,14.79
13225,760,14.65
13226,772,14.6
13227,778,14.51
13228,764,14.89
13229,756,15.12
13230,762,15.09
13231,1352,12
13232,1358,12.05
13233,1358,12.45
13234,1360,12.54
13235,1350,12.64
13236,1358,12.69
13237,1344,12.9
13238,1316,13
13239,1336,13
13240,1338,13.05
13241,1338,12.82
13242,1328,12.98
13243,1334,13.06
13244,1328,13.28
13245,1330,13.4
13246,1308,13.38
13247,1304,13.48
13248,910,12.53
13249,904,12.68
13250,898,12.59
13251,892,12.63
13252,898,12.82
13253,896,12.97
13254,894,13.19
13255,896,13.25
13256,928,13.17
13257,928,12.99
13258,932,12.79
13259,940,12.64
13260,936,12.66
13261,946,12.71
13262,956,12.74
13263,932,13.08
13264,934,13.13
13265,1252,12.3
13266,1264,12.02
13267,1262,11.91
13268,1264,12
13269,1242,12.2
13270,1256,12.2
13271,1234,12.56
13272,1236,12.51
13273,1238,12.54
13274,1236,12.72
13275,1228,12.64
13276,1230,12.71
13277,1246,13.31
13278,1252,13.39
13279,1262,13.45
13280,1266,13.74
13281,1272,13.75
13282,676,11.76
13283,668,11.52
13284,668,11.49
13285,662,11.67
13286,666,11.81
13287,672,12.35
13288,670,12.54
13289,668,12.73
13290,668,12.89
13291,666,13.08
13292,664,12.79
13293,670,12.77
13294,672,12.86
13295,666,13.11
13296,664,13.3
13297,646,13.7
13298,650,13.69
13299,716,14.76
13300,712,14.54
13301,712,14.46
13302,712,14.59
13303,706,15.78
13304,708,15.9
13305,708,15.98
13306,710,15.88
13307,712,15.55
13308,720,16.03
13309,726,15.96
13310,736,15.45
13311,738,15.56
13312,732,15.88
13313,734,16.02
13314,730,16.19
13315,736,16.17
13316,614,10.93
13317,612,11.05
13318,618,11.44
13319,618,11.54
13320,618,11.55
13321,612,11.75
13322,606,12.02
13323,604,12.02
13324,612,12.03
13325,608,12.25
13326,612,11.82
13327,612,11.89
13328,606,12.09
13329,610,12.18
13330,612,12.28
13331,606,12.46
13332,604,12.55
13333,1414,8.97
13334,1404,9.08
13335,1412,9.21
13336,1410,9.28
13337,1406,9.33
13338,1424,9.62
13339,1420,9.69
13340,1390,9.83
13341,1382,9.89
13342,1372,9.85
13343,1374,9.22
13344,1352,9.39
13345,1378,9.88
13346,1384,9.97
13347,1370,10.14
13348,1384,10.13
13349,1396,10.1
13350,1382,11.49
13351,1388,11.53
13352,1382,11.53
13353,1376,11.59
13354,1372,11.64
13355,1382,11.67
13356,1380,11.85
13357,1356,12
13358,1388,11.91
13359,1390,11.82
13360,1394,11.73
13361,1408,11.71
13362,1406,11.84
13363,1418,11.8
13364,1414,11.95
13365,1394,12.16
13366,1400,12.17
13367,1870,10.17
13368,1896,9.94
13369,1902,10.07
13370,1898,10.18
13371,1914,10.12
13372,1908,10.23
13373,1908,10.38
13374,1884,10.46
13375,1902,10.43
13376,1924,10.46
13377,1942,10.34
13378,1958,10.48
13379,1982,10.84
13380,1986,11.15
13381,1994,11.24
13382,1976,11.38
13383,1964,11.5
13384,1566,7.95
13385,1550,8.13
13386,1534,8.4
13387,1538,8.43
13388,1530,8.49
13389,1554,8.45
13390,1586,8.44
13391,1606,8.33
13392,1632,8.32
13393,1628,8.36
13394,1634,8.23
13395,1660,8.19
13396,1688,8.16
13397,1680,8.27
13398,1668,8.38
13399,1626,8.58
13400,1624,8.63
13401,8688,4.69
13402,8782,4.68
13403,8846,4.71
13404,8884,4.71
13405,8918,4.7
13406,9034,4.7
13407,9066,4.74
13408,9134,4.71
13409,9276,4.68
13410,9422,4.72
13411,9542,4.74
13412,9780,4.72
13413,10022,4.72
13414,10210,4.77
13415,10186,4.87
13416,10130,4.87
13417,10202,4.87
13418,1294,10.51
13419,1302,10.32
13420,1294,10.61
13421,1290,10.63
13422,1300,10.58
13423,1288,10.76
13424,1272,11.03
13425,1272,10.99
13426,1298,11.04
13427,1302,11.14
13428,1306,11.01
13429,1314,11.02
13430,1318,11.21
13431,1316,11.34
13432,1328,11.37
13433,1314,11.53
13434,1310,11.62
13435,628,16.93
13436,630,16.37
13437,638,16.64
13438,648,16.56
13439,628,17.05
13440,636,17.48
13441,634,17.81
13442,632,17.8
13443,644,17.73
13444,650,17.82
13445,652,17.55
13446,672,17.2
13447,666,17.52
13448,662,17.84
13449,650,18.34
13450,652,18.4
13451,648,18.59
13452,1264,12.22
13453,1272,12.25
13454,1264,12.53
13455,1266,12.62
13456,1270,12.38
13457,1278,12.43
13458,1274,12.63
13459,1268,12.66
13460,1266,12.83
13461,1274,12.92
13462,1278,12.82
13463,1290,12.81
13464,1302,12.83
13465,1294,12.94
13466,1276,13.24
13467,1260,13.45
13468,1262,13.51
13469,2126,9.12
13470,2126,9.04
13471,2130,9.16
13472,2112,9.25
13473,2120,9.34
13474,2124,9.4
13475,2110,9.58
13476,2120,9.52
13477,2156,9.5
13478,2132,9.85
13479,2146,9.7
13480,2132,9.81
13481,2156,9.83
13482,2166,10.04
13483,2128,10.28
13484,2112,10.41
13485,2112,10.45
13486,14012,4.58
13487,14098,4.62
13488,14192,4.6
13489,14208,4.64
13490,14238,4.68
13491,14322,4.7
13492,14340,4.74
13493,14386,4.73
13494,14594,4.74
13495,14732,4.75
13496,14912,4.73
13497,15070,4.73
13498,15370,4.71
13499,15426,4.74
13500,15474,4.76
13501,15348,4.79
13502,15408,4.8
13503,540,17.23
13504,540,17.37
13505,544,17.79
13506,540,18.07
13507,550,17.81
13508,556,17.6
13509,554,17.92
13510,548,17.64
13511,550,17.81
13512,548,18.1
13513,550,17.73
13514,560,17.79
13515,566,17.81
13516,572,17.88
13517,566,18.25
13518,566,18.36
13519,564,18.52
13520,484,18.1
13521,478,18.45
13522,482,18.95
13523,488,18.93
13524,490,18.87
13525,498,18.81
13526,500,19.03
13527,490,19.31
13528,504,19.08
13529,514,18.98
13530,502,19
13531,506,19.63
13532,518,19.42
13533,522,19.48
13534,510,20.13
13535,506,20.39
13536,502,20.62
13537,1016,10.23
13538,1026,10.22
13539,1030,10.47
13540,1020,10.64
13541,1038,10.51
13542,1046,10.54
13543,1044,10.7
13544,1046,10.54
13545,1050,10.63
13546,1060,10.68
13547,1056,10.54
13548,1062,10.55
13549,1094,10.4
13550,1096,10.5
13551,1094,10.64
13552,1086,10.75
13553,1074,10.89
13554,998,9.6
13555,1006,9.61
13556,1012,9.53
13557,1022,9.54
13558,1036,9.46
13559,1050,9.43
13560,1042,9.63
13561,1028,9.7
13562,1052,9.64
13563,1068,9.63
13564,1082,9.64
13565,1092,9.63
13566,1134,9.42
13567,1128,9.57
13568,1126,9.67
13569,1108,9.56
13570,1118,9.54
13571,1264,10.21
13572,1268,10.15
13573,1288,10.26
13574,1292,10.32
13575,1292,10.23
13576,1288,10.36
13577,1270,10.62
13578,1266,10.86
13579,1278,10.9
13580,1288,11.06
13581,1292,10.94
13582,1300,10.85
13583,1304,11.18
13584,1306,11.28
13585,1296,11.47
13586,1266,11.76
13587,1264,11.81
13588,2012,8.3
13589,2026,8.48
13590,2030,8.6
13591,2028,8.82
13592,2054,8.64
13593,2058,8.55
13594,2064,8.65
13595,2058,8.65
13596,2080,8.68
13597,2096,8.55
13598,2098,8.33
13599,2114,8.32
13600,2112,8.59
13601,2122,8.4
13602,2132,8.45
13603,2114,8.55
13604,2118,8.77
13605,2038,11.66
13606,2054,11.68
13607,2048,11.85
13608,2036,12.01
13609,2048,11.97
13610,2060,12.02
13611,2046,12.26
13612,2032,12.6
13613,2048,12.66
13614,2082,12.63
13615,2076,12.21
13616,2084,12.41
13617,2126,12.5
13618,2116,12.82
13619,2120,12.77
13620,2100,13.11
13621,2122,13.22
13622,798,13.78
13623,810,13.71
13624,820,14.29
13625,802,14.7
13626,792,14.73
13627,800,14.74
13628,810,14.81
13629,822,14.58
13630,838,14.66
13631,836,14.88
13632,844,13.7
13633,850,14.07
13634,866,14.43
13635,870,14.51
13636,856,14.88
13637,862,14.71
13638,872,14.63
13639,786,11.13
13640,786,11.21
13641,792,11.12
13642,782,11.33
13643,774,11.6
13644,778,11.66
13645,782,11.78
13646,772,11.88
13647,764,12.12
13648,762,12.29
13649,760,12.04
13650,760,11.71
13651,762,11.79
13652,754,12.03
13653,750,12.21
13654,752,12.25
13655,750,12.34
13656,608,16.86
13657,604,17.08
13658,602,17.61
13659,602,17.78
13660,594,18.01
13661,594,18.2
13662,590,18.38
13663,600,18.06
13664,606,18.13
13665,614,18.16
13666,616,17.84
13667,614,18.01
13668,614,18.2
13669,614,18.42
13670,618,18.52
13671,626,18.21
13672,622,18.39
13673,484,15.61
13674,484,15.73
13675,486,16.32
13676,480,16.64
13677,492,16.31
13678,488,16.6
13679,482,17.03
13680,478,17.09
13681,476,17.38
13682,472,17.74
13683,478,17.11
13684,480,17.15
13685,494,16.91
13686,494,17.1
13687,496,17.23
13688,500,17.21
13689,504,17.18
13690,786,13.33
13691,790,13.37
13692,778,13.65
13693,760,14.05
13694,754,14.01
13695,756,14.12
13696,752,14.38
13697,756,14.28
13698,766,14.3
13699,768,14.45
13700,776,14.07
13701,782,14.07
13702,792,14.06
13703,802,14.05
13704,798,14.27
13705,784,14.56
13706,786,14.61
13707,2384,8.35
13708,2424,8.44
13709,2418,8.44
13710,2424,8.49
13711,2428,8.48
13712,2430,8.55
13713,2420,8.69
13714,2420,8.66
13715,2444,8.69
13716,2472,8.67
13717,2472,8.5
13718,2482,8.37
13719,2504,8.82
13720,2496,9.05
13721,2500,9.14
13722,2466,9.16
13723,2462,9.21
13724,1202,9.88
13725,1210,9.8
13726,1210,9.77
13727,1208,9.88
13728,1190,9.9
13729,1192,9.97
13730,1196,10.1
13731,1182,10.16
13732,1184,10.26
13733,1186,10.11
13734,1198,10.15
13735,1234,9.96
13736,1238,10.03
13737,1242,10.23
13738,1252,10.53
13739,1252,10.58
13740,1258,10.6
13741,506,12.17
13742,512,12.37
13743,520,12.79
13744,512,13.08
13745,510,13.14
13746,514,13.17
13747,512,13.41
13748,528,13.6
13749,538,13.56
13750,544,13.37
13751,548,12.85
13752,546,12.97
13753,544,13.15
13754,546,13.27
13755,552,13.28
13756,540,13.63
13757,538,13.72
13758,982,14.77
13759,992,14.46
13760,986,14.71
13761,990,14.78
13762,990,14.8
13763,984,14.92
13764,974,15.27
13765,970,15.9
13766,976,16.02
13767,976,16.35
13768,964,16.06
13769,964,16.17
13770,980,16.48
13771,982,16.95
13772,978,17.21
13773,966,17.49
13774,974,17.45
13775,710,14.04
13776,706,13.8
13777,704,14.09
13778,698,14.32
13779,690,14.47
13780,690,14.62
13781,684,14.96
13782,690,14.8
13783,690,14.98
13784,702,14.96
13785,696,14.61
