id,establishments,%chg_lq_estabishments
370,23728,3.07
371,17672,3.57
372,13346,3.07
373,208214,2.46
374,9288,4.51
375,4712,4.08
376,13544,4.98
377,2092,5.95
378,92268,2.67
379,15708,2.91
380,120006,2.57
381,23586,2.89
382,70304,2.7
383,29078,3.42
384,2898,7.77
385,16368,3.02
386,14250,3.79
387,7602,4.49
388,33728,2.77
389,31876,2.7
390,4210,4.99
391,1674,8.03
392,886,9.38
393,414,14.13
394,30596,3.15
395,1064,9.59
396,6086,3.53
397,988,10.57
398,104272,2.46
399,874,10.61
400,250,20.56
401,540,13.91
402,126,21.87
403,1716,11.78
404,568,9.86
405,2608,5.94
406,4752,5.5
407,682,9.31
408,536,13.68
409,8868,5.52
410,390,15.27
411,432,14.14
412,562,13.79
413,1520,8.13
414,3156,6.74
415,796,11.02
416,878,12.4
417,226,27.16
418,1856,8.45
419,474,10.38
420,4530,5.51
421,2054,5.82
422,354,11.9
423,17162,3.83
424,244,14.88
425,672,13.74
426,12146,3.44
427,6564,5.59
428,128,23.74
429,8474,5.27
430,342,16.5
431,46382,3.02
432,1848,9.17
433,2038,8.56
434,5568,5.04
435,718,12.82
436,5570,5.06
437,288,15.04
438,1144,11.77
439,496,10.35
440,1522,5.26
441,1332,10.41
442,37392,3.94
443,658,18.47
444,382,20.67
445,4680,6.95
446,5588,4.48
447,540,17.67
448,102,25.36
449,1660,7.54
450,984,10.34
451,848,15.39
452,508,15.37
453,1316,7.13
454,7568,3.62
455,4164,7.4
456,12498,3.03
457,1014,9.61
458,92696,3.42
459,1264,9.03
460,80,36.77
461,5488,5.76
462,2108,7.03
463,956,9.46
464,998,8.79
465,53438,2.89
466,1850,9.04
467,9528,4.68
468,154,29.44
469,1032,10.46
470,972,9.81
471,870,10.1
472,306,15.19
473,8506,4.04
474,5546,7.87
475,298,17.54
476,3016,5.77
477,398,11.83
478,474,12.97
479,754,12.6
480,244,19.3
481,280,17.85
482,700,10.53
483,548,15.5
484,220,24.83
485,2194,9.61
